"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"1",1,"Ja'Marr Chase",CIN,"WR1","10","3 out of 5 stars","0"
"2",1,"Bijan Robinson",ATL,"RB1","5","4 out of 5 stars","0"
"3",1,"Justin Jefferson",MIN,"WR2","6","2 out of 5 stars","+2"
"4",1,"CeeDee Lamb",DAL,"WR3","10","2 out of 5 stars","+2"
"5",2,"Puka Nacua",LAR,"WR4","8","3 out of 5 stars","+3"
"6",2,"Jahmyr Gibbs",DET,"RB2","8","2 out of 5 stars","-2"
"7",2,"Amon-Ra St. Brown",DET,"WR5","8","3 out of 5 stars","0"
"8",2,"Malik Nabers",NYG,"WR6","14","2 out of 5 stars","+1"
"9",2,"Saquon Barkley",PHI,"RB3","9","3 out of 5 stars","-6"
"10",2,"Nico Collins",HOU,"WR7","6","4 out of 5 stars","+4"
"11",2,"Brian Thomas Jr.",JAC,"WR8","8","4 out of 5 stars","+4"
"12",2,"Christian McCaffrey",SF,"RB4","14","3 out of 5 stars","-2"
"13",3,"Drake London",ATL,"WR9","5","3 out of 5 stars","+6"
"14",3,"Ladd McConkey",LAC,"WR10","12","3 out of 5 stars","+11"
"15",3,"Brock Bowers",LV,"TE1","8","2 out of 5 stars","+3"
"16",3,"A.J. Brown",PHI,"WR11","9","3 out of 5 stars","+1"
"17",3,"De'Von Achane",MIA,"RB5","12","4 out of 5 stars","-4"
"18",3,"Ashton Jeanty",LV,"RB6","8","2 out of 5 stars","-7"
"19",4,"Trey McBride",ARI,"TE2","8","5 out of 5 stars","+7"
"20",4,"Jaxon Smith-Njigba",SEA,"WR12","8","3 out of 5 stars","+12"
"21",4,"Tyreek Hill",MIA,"WR13","12","3 out of 5 stars","+7"
"22",4,"Derrick Henry",BAL,"RB7","7","4 out of 5 stars","-10"
"23",4,"Tee Higgins",CIN,"WR14","10","3 out of 5 stars","+7"
"24",4,"Josh Allen",BUF,"QB1","7","4 out of 5 stars","-1"
"25",4,"Garrett Wilson",NYJ,"WR15","9","4 out of 5 stars","+9"
"26",4,"Bucky Irving",TB,"RB8","9","3 out of 5 stars","-5"
"27",4,"Lamar Jackson",BAL,"QB2","7","3 out of 5 stars","-5"
"28",4,"Chase Brown",CIN,"RB9","10","4 out of 5 stars","-1"
"29",5,"George Kittle",SF,"TE3","14","3 out of 5 stars","+9"
"30",5,"Mike Evans",TB,"WR16","9","3 out of 5 stars","+12"
"31",5,"Jalen Hurts",PHI,"QB3","9","3 out of 5 stars","+9"
"32",5,"Josh Jacobs",GB,"RB10","5","4 out of 5 stars","-16"
"33",5,"Davante Adams",LAR,"WR17","8","3 out of 5 stars","+3"
"34",5,"Marvin Harrison Jr.",ARI,"WR18","8","4 out of 5 stars","+9"
"35",5,"Terry McLaurin",WAS,"WR19","12","3 out of 5 stars","+2"
"36",5,"Jayden Daniels",WAS,"QB4","12","2 out of 5 stars","-7"
"37",5,"Jonathan Taylor",IND,"RB11","11","2 out of 5 stars","-17"
"38",5,"Alvin Kamara",NO,"RB12","11","4 out of 5 stars","+3"
"39",5,"DJ Moore",CHI,"WR20","5","2 out of 5 stars","+9"
"40",5,"Kyren Williams",LAR,"RB13","8","3 out of 5 stars","-16"
"41",5,"Breece Hall",NYJ,"RB14","9","5 out of 5 stars","-8"
"42",5,"DK Metcalf",PIT,"WR21","5","4 out of 5 stars","+7"
"43",5,"Kenneth Walker III",SEA,"RB15","8","3 out of 5 stars","-4"
"44",5,"Courtland Sutton",DEN,"WR22","12","3 out of 5 stars","+8"
"45",5,"DeVonta Smith",PHI,"WR23","9","3 out of 5 stars","+9"
"46",6,"James Conner",ARI,"RB16","8","3 out of 5 stars","0"
"47",6,"James Cook",BUF,"RB17","7","4 out of 5 stars","-16"
"48",6,"Joe Burrow",CIN,"QB5","10","2 out of 5 stars","-13"
"49",6,"Omarion Hampton",LAC,"RB18","12","2 out of 5 stars","-5"
"50",6,"Jameson Williams",DET,"WR24","8","3 out of 5 stars","+10"
"51",6,"Xavier Worthy",KC,"WR25","10","3 out of 5 stars","+4"
"52",6,"Zay Flowers",BAL,"WR26","7","3 out of 5 stars","+7"
"53",6,"Chuba Hubbard",CAR,"RB19","14","3 out of 5 stars","-8"
"54",6,"Tetairoa McMillan",CAR,"WR27","14","4 out of 5 stars","+15"
"55",6,"Rashee Rice",KC,"WR28","10","3 out of 5 stars","-8"
"56",6,"Jaylen Waddle",MIA,"WR29","12","3 out of 5 stars","+16"
"57",6,"Patrick Mahomes II",KC,"QB6","10","3 out of 5 stars","-4"
"58",6,"George Pickens",DAL,"WR30","10","2 out of 5 stars","+9"
"59",7,"Joe Mixon",HOU,"RB20","6","2 out of 5 stars","-9"
"60",7,"D'Andre Swift",CHI,"RB21","5","3 out of 5 stars","-4"
"61",7,"Aaron Jones Sr.",MIN,"RB22","6","3 out of 5 stars","+4"
"62",7,"Calvin Ridley",TEN,"WR31","10","4 out of 5 stars","+8"
"63",7,"Chris Olave",NO,"WR32","11","4 out of 5 stars","+15"
"64",7,"Sam LaPorta",DET,"TE4","8","3 out of 5 stars","-13"
"65",7,"RJ Harvey",DEN,"RB23","12","2 out of 5 stars","-2"
"66",7,"Bo Nix",DEN,"QB7","12","4 out of 5 stars","+10"
"67",7,"T.J. Hockenson",MIN,"TE5","6","3 out of 5 stars","-6"
"68",7,"David Montgomery",DET,"RB24","8","2 out of 5 stars","-11"
"69",7,"TreVeyon Henderson",NE,"RB25","14","4 out of 5 stars","-11"
"70",7,"Baker Mayfield",TB,"QB8","9","2 out of 5 stars","-4"
"71",7,"Jerry Jeudy",CLE,"WR33","9","2 out of 5 stars","+4"
"72",7,"Travis Kelce",KC,"TE6","10","3 out of 5 stars","-10"
"73",7,"Tony Pollard",TEN,"RB26","10","2 out of 5 stars","0"
"74",7,"Jakobi Meyers",LV,"WR34","8","4 out of 5 stars","+17"
"75",7,"Kyler Murray",ARI,"QB9","8","4 out of 5 stars","+8"
"76",7,"Rome Odunze",CHI,"WR35","5","2 out of 5 stars","+5"
"77",7,"Chris Godwin",TB,"WR36","9","3 out of 5 stars","0"
"78",7,"David Njoku",CLE,"TE7","9","3 out of 5 stars","+6"
"79",7,"Isiah Pacheco",KC,"RB27","10","2 out of 5 stars","-11"
"80",7,"Travis Hunter",JAC,"WR37","8","4 out of 5 stars","-16"
"81",7,"Kaleb Johnson",PIT,"RB28","5","4 out of 5 stars","-10"
"82",7,"Jordan Addison",MIN,"WR38","6","2 out of 5 stars","-3"
"83",7,"Evan Engram",DEN,"TE8","12","3 out of 5 stars","-1"
"84",8,"Jauan Jennings",SF,"WR39","14","4 out of 5 stars","+10"
"85",8,"Jaylen Warren",PIT,"RB29","5","4 out of 5 stars","+4"
"86",8,"Stefon Diggs",NE,"WR40","14","3 out of 5 stars","+1"
"87",8,"Brian Robinson Jr.",WAS,"RB30","12","2 out of 5 stars","-7"
"88",8,"Khalil Shakir",BUF,"WR41","7","3 out of 5 stars","+5"
"89",8,"Brock Purdy",SF,"QB10","14","4 out of 5 stars","+9"
"90",8,"Jayden Reed",GB,"WR42","5","2 out of 5 stars","+14"
"91",8,"Javonte Williams",DAL,"RB31","10","2 out of 5 stars","+6"
"92",8,"Dak Prescott",DAL,"QB11","10","2 out of 5 stars","+10"
"93",8,"Travis Etienne Jr.",JAC,"RB32","8","2 out of 5 stars","+2"
"94",8,"Mark Andrews",BAL,"TE9","7","3 out of 5 stars","-20"
"95",8,"Justin Herbert",LAC,"QB12","12","3 out of 5 stars","+18"
"96",8,"Josh Downs",IND,"WR43","11","4 out of 5 stars","+26"
"97",8,"Justin Fields",NYJ,"QB13","9","5 out of 5 stars","+3"
"98",8,"Caleb Williams",CHI,"QB14","5","2 out of 5 stars","+13"
"99",8,"Jake Ferguson",DAL,"TE10","10","2 out of 5 stars","+32"
"100",8,"Michael Pittman Jr.",IND,"WR44","11","4 out of 5 stars","+23"
"101",8,"Deebo Samuel Sr.",WAS,"WR45","12","3 out of 5 stars","-15"
"102",8,"Jared Goff",DET,"QB15","8","2 out of 5 stars","-1"
"103",8,"Tyrone Tracy Jr.",NYG,"RB33","14","3 out of 5 stars","-15"
"104",8,"Ricky Pearsall",SF,"WR46","14","4 out of 5 stars","-5"
"105",8,"Darnell Mooney",ATL,"WR47","5","3 out of 5 stars","+21"
"106",8,"Cooper Kupp",SEA,"WR48","8","3 out of 5 stars","-21"
"107",9,"Tyler Warren",IND,"TE11","11","3 out of 5 stars","+1"
"108",9,"Tucker Kraft",GB,"TE12","5","2 out of 5 stars","+1"
"109",9,"Quinshon Judkins",CLE,"RB34","9","4 out of 5 stars","-19"
"110",9,"Cam Skattebo",NYG,"RB35","14","3 out of 5 stars","-18"
"111",9,"Trevor Lawrence",JAC,"QB16","8","3 out of 5 stars","+53"
"112",9,"Zach Charbonnet",SEA,"RB36","8","3 out of 5 stars","+5"
"113",9,"Drake Maye",NE,"QB17","14","5 out of 5 stars","+31"
"114",9,"Dallas Goedert",PHI,"TE13","9","3 out of 5 stars","+19"
"115",9,"Rachaad White",TB,"RB37","9","3 out of 5 stars","+9"
"116",9,"Jordan Love",GB,"QB18","5","2 out of 5 stars","+12"
"117",9,"C.J. Stroud",HOU,"QB19","6","3 out of 5 stars","+19"
"118",9,"Matthew Golden",GB,"WR49","5","2 out of 5 stars","-22"
"119",9,"J.J. McCarthy",MIN,"QB20","6","2 out of 5 stars","+27"
"120",9,"Dalton Kincaid",BUF,"TE14","7","3 out of 5 stars","+7"
"121",9,"Jordan Mason",MIN,"RB38","6","3 out of 5 stars","-7"
"122",9,"Tyjae Spears",TEN,"RB39","10","2 out of 5 stars","+3"
"123",9,"Jayden Higgins",HOU,"WR50","6","4 out of 5 stars","+18"
"124",9,"J.K. Dobbins",DEN,"RB40","12","2 out of 5 stars","-9"
"125",9,"Najee Harris",LAC,"RB41","12","2 out of 5 stars","-19"
"126",9,"Emeka Egbuka",TB,"WR51","9","3 out of 5 stars","-7"
"127",9,"Wan'Dale Robinson",NYG,"WR52","14","2 out of 5 stars","+72"
"128",9,"Austin Ekeler",WAS,"RB42","12","2 out of 5 stars","+2"
"129",9,"Rhamondre Stevenson",NE,"RB43","14","4 out of 5 stars","-26"
"130",9,"Rashid Shaheed",NO,"WR53","11","4 out of 5 stars","+19"
"131",9,"Keon Coleman",BUF,"WR54","7","3 out of 5 stars","-10"
"132",9,"Colston Loveland",CHI,"TE15","5","4 out of 5 stars","-20"
"133",9,"Tank Bigsby",JAC,"RB44","8","2 out of 5 stars","+4"
"134",9,"Geno Smith",LV,"QB21","8","3 out of 5 stars","+66"
"135",9,"Matthew Stafford",LAR,"QB22","8","3 out of 5 stars","+39"
"136",9,"Hunter Henry",NE,"TE16","14","3 out of 5 stars","+23"
"137",10,"Ray Davis",BUF,"RB45","7","4 out of 5 stars","+31"
"138",10,"Tua Tagovailoa",MIA,"QB23","12","5 out of 5 stars","+27"
"139",10,"Bryce Young",CAR,"QB24","14","3 out of 5 stars","+68"
"140",10,"Jerome Ford",CLE,"RB46","9","4 out of 5 stars","+20"
"141",10,"Christian Kirk",HOU,"WR55","6","4 out of 5 stars","+22"
"142",10,"Brandon Aiyuk",SF,"WR56","14","4 out of 5 stars","-24"
"143",10,"Luther Burden III",CHI,"WR57","5","2 out of 5 stars","+12"
"144",10,"Rashod Bateman",BAL,"WR58","7","3 out of 5 stars","+28"
"145",10,"Marvin Mims Jr.",DEN,"WR59","12","3 out of 5 stars","+7"
"146",10,"Cedric Tillman",CLE,"WR60","9","2 out of 5 stars","+47"
"147",10,"Denver Broncos",DEN,"DST1","12","4 out of 5 stars","-40"
"148",10,"Trey Benson",ARI,"RB47","8","3 out of 5 stars","+9"
"149",10,"Isaiah Likely",BAL,"TE17","7","3 out of 5 stars","+13"
"150",10,"Roschon Johnson",CHI,"RB48","5","3 out of 5 stars","+48"
"151",10,"Tyler Allgeier",ATL,"RB49","5","4 out of 5 stars","+10"
"152",10,"Adam Thielen",CAR,"WR61","14","4 out of 5 stars","+29"
"153",10,"Quentin Johnston",LAC,"WR62","12","3 out of 5 stars","+38"
"154",10,"Tre' Harris",LAC,"WR63","12","3 out of 5 stars","-14"
"155",10,"Michael Penix Jr.",ATL,"QB25","5","4 out of 5 stars","+16"
"156",10,"Braelon Allen",NYJ,"RB50","9","5 out of 5 stars","+22"
"157",10,"Justice Hill",BAL,"RB51","7","4 out of 5 stars","+45"
"158",10,"Rico Dowdle",CAR,"RB52","14","3 out of 5 stars","+46"
"159",10,"Marquise Brown",KC,"WR64","10","3 out of 5 stars","-3"
"160",10,"Philadelphia Eagles",PHI,"DST2","9","2 out of 5 stars","-44"
"161",10,"DeMario Douglas",NE,"WR65","14","3 out of 5 stars","+54"
"162",10,"Jaydon Blue",DAL,"RB53","10","2 out of 5 stars","-27"
"163",10,"Mike Gesicki",CIN,"TE18","10","2 out of 5 stars","+49"
"164",10,"Zach Ertz",WAS,"TE19","12","3 out of 5 stars","-13"
"165",10,"Kyle Pitts Sr.",ATL,"TE20","5","3 out of 5 stars","-27"
"166",10,"Sam Darnold",SEA,"QB26","8","4 out of 5 stars","+51"
"167",10,"Romeo Doubs",GB,"WR66","5","2 out of 5 stars","+34"
"168",10,"Dylan Sampson",CLE,"RB54","9","4 out of 5 stars","+8"
"169",10,"Jonnu Smith",PIT,"TE21","5","3 out of 5 stars","-59"
"170",10,"Baltimore Ravens",BAL,"DST3","7","3 out of 5 stars","-38"
"171",10,"Bhayshul Tuten",JAC,"RB55","8","2 out of 5 stars","-29"
"172",10,"Kareem Hunt",KC,"RB56","10","2 out of 5 stars","+14"
"173",10,"Jaylen Wright",MIA,"RB57","12","4 out of 5 stars","+9"
"174",10,"Nick Chubb",HOU,"RB58","6","2 out of 5 stars","-26"
"175",11,"Pittsburgh Steelers",PIT,"DST4","5","3 out of 5 stars","-46"
"176",11,"Minnesota Vikings",MIN,"DST5","6","2 out of 5 stars","-29"
"177",11,"Xavier Legette",CAR,"WR67","14","4 out of 5 stars","-2"
"178",11,"Isaac Guerendo",SF,"RB59","14","3 out of 5 stars","-35"
"179",11,"Houston Texans",HOU,"DST6","6","2 out of 5 stars","-29"
"180",11,"Michael Wilson",ARI,"WR68","8","4 out of 5 stars","+139"
"181",11,"Kyle Williams",NE,"WR69","14","3 out of 5 stars","-1"
"182",11,"Alec Pierce",IND,"WR70","11","4 out of 5 stars","+65"
"183",11,"Detroit Lions",DET,"DST7","8","1 out of 5 stars","-10"
"184",11,"Buffalo Bills",BUF,"DST8","7","5 out of 5 stars","-45"
"185",11,"Aaron Rodgers",PIT,"QB27","5","4 out of 5 stars","+29"
"186",11,"Jack Bech",LV,"WR71","8","4 out of 5 stars","-28"
"187",11,"Calvin Austin III",PIT,"WR72","5","4 out of 5 stars","+100"
"188",11,"Chig Okonkwo",TEN,"TE22","10","3 out of 5 stars","+33"
"189",11,"Jalen McMillan",TB,"WR73","9","3 out of 5 stars","-1"
"190",11,"MarShawn Lloyd",GB,"RB60","5","4 out of 5 stars","+35"
"191",11,"Andrei Iosivas",CIN,"WR74","10","3 out of 5 stars","+71"
"192",11,"Los Angeles Chargers",LAC,"DST9","12","5 out of 5 stars","+4"
"193",11,"San Francisco 49ers",SF,"DST10","14","5 out of 5 stars","-27"
"194",11,"Pat Freiermuth",PIT,"TE23","5","3 out of 5 stars","-11"
"195",11,"Brenton Strange",JAC,"TE24","8","3 out of 5 stars","-6"
"196",11,"Cameron Ward",TEN,"QB28","10","2 out of 5 stars","+7"
"197",11,"Kansas City Chiefs",KC,"DST11","10","1 out of 5 stars","-18"
"198",11,"Joshua Palmer",BUF,"WR75","7","3 out of 5 stars","+22"
"199",11,"Darius Slayton",NYG,"WR76","14","2 out of 5 stars","+67"
"200",11,"Mason Taylor",NYJ,"TE25","9","3 out of 5 stars","+28"
"201",11,"Seattle Seahawks",SEA,"DST12","8","3 out of 5 stars","+33"
"202",11,"Cade Otton",TB,"TE26","9","3 out of 5 stars","+11"
"203",11,"Los Angeles Rams",LAR,"DST13","8","3 out of 5 stars","+19"
"204",11,"Anthony Richardson Sr.",IND,"QB29","11","3 out of 5 stars","-9"
"205",11,"Green Bay Packers",GB,"DST14","5","2 out of 5 stars","-13"
"206",11,"Pat Bryant",DEN,"WR77","12","3 out of 5 stars","+70"
"207",11,"Devaughn Vele",DEN,"WR78","12","3 out of 5 stars","+198"
"208",11,"Blake Corum",LAR,"RB61","8","3 out of 5 stars","+16"
"209",12,"Juwan Johnson",NO,"TE27","11","3 out of 5 stars","+99"
"210",12,"Will Shipley",PHI,"RB62","9","3 out of 5 stars","+19"
"211",12,"Tyler Lockett",TEN,"WR79","10","4 out of 5 stars","+37"
"212",12,"Brandon Aubrey",DAL,"K1","10","4 out of 5 stars","-107"
"213",12,"Miles Sanders",DAL,"RB63","10","2 out of 5 stars","+31"
"214",12,"Cameron Dicker",LAC,"K2","12","5 out of 5 stars","-94"
"215",12,"Jake Bates",DET,"K3","8","1 out of 5 stars","-81"
"216",12,"Jarquez Hunter",LAR,"RB64","8","3 out of 5 stars","+22"
"217",12,"Dontayvion Wicks",GB,"WR80","5","2 out of 5 stars","+57"
"218",12,"Elic Ayomanor",TEN,"WR81","10","4 out of 5 stars","+93"
